2023-05-22 18:34: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\wujing_10\20230522183457
2023-05-22 18:34: Horizon 01, MAE: 10.05, RMSE: 18.99, MAPE: 21.2558%
2023-05-22 18:34: Horizon 02, MAE: 10.51, RMSE: 20.53, MAPE: 21.9005%
2023-05-22 18:34: Horizon 03, MAE: 11.17, RMSE: 22.38, MAPE: 22.7437%
2023-05-22 18:34: Horizon 04, MAE: 11.95, RMSE: 24.08, MAPE: 23.9118%
2023-05-22 18:34: Horizon 05, MAE: 12.79, RMSE: 25.89, MAPE: 25.4743%
2023-05-22 18:34: Horizon 06, MAE: 13.70, RMSE: 27.33, MAPE: 26.9144%
2023-05-22 18:34: Horizon 07, MAE: 14.64, RMSE: 28.58, MAPE: 28.2334%
2023-05-22 18:34: Horizon 08, MAE: 15.57, RMSE: 30.04, MAPE: 29.6304%
2023-05-22 18:34: Horizon 09, MAE: 16.53, RMSE: 31.37, MAPE: 31.1861%
2023-05-22 18:34: Horizon 10, MAE: 17.58, RMSE: 32.89, MAPE: 33.0280%
2023-05-22 18:34: Horizon 11, MAE: 18.53, RMSE: 34.47, MAPE: 34.0673%
2023-05-22 18:34: Horizon 12, MAE: 19.76, RMSE: 36.11, MAPE: 35.7786%
2023-05-22 18:34: MAE: 14.40, RMSE: 28.22, MAPE: 27.8418%
