2023-05-22 18:34: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\wujing_5_speed\20230522183443
2023-05-22 18:34: Horizon 01, MAE: 3.74, RMSE: 9.30, MAPE: 3787612.5000%
2023-05-22 18:34: Horizon 02, MAE: 3.97, RMSE: 10.14, MAPE: 4874207.0000%
2023-05-22 18:34: Horizon 03, MAE: 4.13, RMSE: 10.78, MAPE: 5637412.0000%
2023-05-22 18:34: Horizon 04, MAE: 4.32, RMSE: 11.48, MAPE: 6813115.0000%
2023-05-22 18:34: Horizon 05, MAE: 4.45, RMSE: 12.00, MAPE: 7639354.0000%
2023-05-22 18:34: Horizon 06, MAE: 4.60, RMSE: 12.52, MAPE: 8559602.0000%
2023-05-22 18:34: Horizon 07, MAE: 4.75, RMSE: 13.02, MAPE: 9572042.0000%
2023-05-22 18:34: Horizon 08, MAE: 4.92, RMSE: 13.52, MAPE: 10375744.0000%
2023-05-22 18:34: Horizon 09, MAE: 5.09, RMSE: 14.02, MAPE: 11420305.0000%
2023-05-22 18:34: Horizon 10, MAE: 5.22, RMSE: 14.43, MAPE: 12229318.0000%
2023-05-22 18:34: Horizon 11, MAE: 5.38, RMSE: 14.81, MAPE: 13057592.0000%
2023-05-22 18:34: Horizon 12, MAE: 5.51, RMSE: 15.13, MAPE: 13713942.0000%
2023-05-22 18:34: MAE: 4.67, RMSE: 12.73, MAPE: 8973355.0000%
